time,DEVICE VOLTAGE B2|XI2,DEVICE VOLTAGE B2|XI4,DEVICE VOLTAGE B2|XI6,DEVICE VOLTAGE B1|XI10
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.0000000000000001e-13,8.1855343523083580e-07,8.2660926630136522e-07,8.2858916863197010e-07,7.6199101860507195e-07
4.0000000000000001e-13,4.0958328188922629e-06,4.1347467618972206e-06,4.1153296685554036e-06,3.8037470639583524e-06
6.0000000000000007e-13,1.0448919721127144e-05,1.0543857233017203e-05,1.0417531422984311e-05,9.6712604733937214e-06
8.0000000000000002e-13,1.9224262126948020e-05,1.9390181745942432e-05,1.9040955529875609e-05,1.7717771082984457e-05
9.9999999999999998e-13,2.9513393082198922e-05,2.9753962644303075e-05,2.9094717995146224e-05,2.7065029542442036e-05
1.2000000000000001e-12,4.0461431378029026e-05,4.0770438314154636e-05,3.9767514847535488e-05,3.6898660826900238e-05
1.4000000000000001e-12,5.1362166809076935e-05,5.1725522488634447e-05,5.0399407955228684e-05,4.6560984117240927e-05
1.6000000000000000e-12,6.1680031726762635e-05,6.2077918442308421e-05,6.0492711747209845e-05,5.5571708291365304e-05
1.8000000000000000e-12,7.1045167450591216e-05,7.1454183393165655e-05,6.9703110555726689e-05,6.3620055470390248e-05
2.0000000000000000e-12,7.9237463135541921e-05,7.9632677874711522e-05,7.7823480468662296e-05,7.0544275702232956e-05
2.1999999999999999e-12,8.6165566475218037e-05,8.6522401990212205e-05,8.4764625838509858e-05,7.6305505421328022e-05
2.4000000000000003e-12,9.1843580300114434e-05,9.2139426957679979e-05,9.0534672341074997e-05,8.0959733522259950e-05
2.6000000000000002e-12,9.6367080219229704e-05,9.6582559653852657e-05,9.5218136008603585e-05,8.4630327074609348e-05
2.8000000000000002e-12,9.9889753717403206e-05,1.0000955796404226e-04,9.8955519030260899e-05,8.7482870069736988e-05
3.0000000000000001e-12,1.0260182566731360e-04,1.0261509349921265e-04,1.0192426591906481e-04,8.9703553756208035e-05
3.2000000000000001e-12,1.0471127731333116e-04,1.0461150846446760e-04,1.0432188695160261e-04,9.1481883378379385e-05
3.4000000000000001e-12,1.0642861297994963e-04,1.0621316030261707e-04,1.0635193666587283e-04,9.2998008136224502e-05
3.6000000000000000e-12,1.0795559376854409e-04,1.0762480465752141e-04,1.0821331909159317e-04,9.4414564522380171e-05
3.8000000000000000e-12,1.0947799661782868e-04,1.0903409328090659e-04,1.1009313188340551e-04,9.5872587033017282e-05
3.9999999999999999e-12,1.1116213558848734e-04,1.1060792735755527e-04,1.1216300206857742e-04,9.7490814348271383e-05
4.1999999999999999e-12,1.1315464997552859e-04,1.1249216094806791e-04,1.1457864709782343e-04,9.9367613300173178e-05
4.3999999999999998e-12,1.1558494430894042e-04,1.1481401884998885e-04,1.1748225788887898e-04,1.0158474714950816e-04
4.5999999999999998e-12,1.1856965634082453e-04,1.1768657642231106e-04,1.2100725654300743e-04,1.0421230493038506e-04
4.8000000000000005e-12,1.2221861103333173e-04,1.2121472567072313e-04,1.2528502430541168e-04,1.0731425533035916e-04
5.0000000000000005e-12,1.2664186412586514e-04,1.2550219402095625e-04,1.3045331544517643e-04,1.1095426365448046e-04
5.2000000000000005e-12,1.3113906824799296e-04,1.2983275295881452e-04,1.3583767244521120e-04,1.1443960076206166e-04
5.4000000000000004e-12,1.3416700439234142e-04,1.3263866737898622e-04,1.3995178248472548e-04,1.1630483761315463e-04
5.6000000000000004e-12,1.3512324641806733e-04,1.3330291289295846e-04,1.4231279204750206e-04,1.1599317347577892e-04
5.8000000000000003e-12,1.3458136043917578e-04,1.3239461904574111e-04,1.4361345335410356e-04,1.1406840313002405e-04
6.0000000000000003e-12,1.3329978547256267e-04,1.3066677423042902e-04,1.4469593042592659e-04,1.1127332973579991e-04
6.2000000000000002e-12,1.3194182615159654e-04,1.2877394072554642e-04,1.4630676326129555e-04,1.0825768329952904e-04
6.4000000000000002e-12,1.3101942786872937e-04,1.2721555823037137e-04,1.4906758687266566e-04,1.0551642430234841e-04
6.6000000000000001e-12,1.3090790100310235e-04,1.2635039822821422e-04,1.5350630930751125e-04,1.0339773033944470e-04
6.8000000000000001e-12,1.3188007931323802e-04,1.2643027007479393e-04,1.6010341236836245e-04,1.0213252133470496e-04
7.0000000000000001e-12,1.3414224050573980e-04,1.2763519875661562e-04,1.6933973485320646e-04,1.0186802587255016e-04
7.2000000000000000e-12,1.3786601884608065e-04,1.3010427065514107e-04,1.8174169071951619e-04,1.0269886312024880e-04
7.4000000000000000e-12,1.4321497605572709e-04,1.3396081731651844e-04,1.9792251336576253e-04,1.0469350816313234e-04
7.5999999999999999e-12,1.5036615435556425e-04,1.3933230756774592e-04,2.1861767257013546e-04,1.0791595325508137e-04
7.7999999999999999e-12,1.5952739893336986e-04,1.4636585707010819e-04,2.4470928746918639e-04,1.1244326496206185e-04
7.9999999999999998e-12,1.7095105989358859e-04,1.5524023348075921e-04,2.7722663982878652e-04,1.1838010218238095e-04
8.1999999999999998e-12,1.8494401998443602e-04,1.6617485134434384e-04,3.1729529507602128e-04,1.2587134239687569e-04
8.3999999999999998e-12,2.0187278220004280e-04,1.7943555153914056e-04,3.6598385208510713e-04,1.3511387492443481e-04
8.5999999999999997e-12,2.2216035913038461e-04,1.9533586257251668e-04,4.2396739478077662e-04,1.4636839104782841e-04
8.7999999999999997e-12,2.4626855946897349e-04,2.1423075958296636e-04,4.9090668884954744e-04,1.5997158518107530e-04
8.9999999999999996e-12,2.7465456362199732e-04,2.3649741239660968e-04,5.6448073354190172e-04,1.7634843250459434e-04
9.1999999999999996e-12,3.0768439332021029e-04,2.6249382411968909e-04,6.3920913947449994e-04,1.9602282933420514e-04
9.3999999999999995e-12,3.4547945238255648e-04,2.9248175417312828e-04,7.0567525603286918e-04,2.1962234187428349e-04
9.6000000000000011e-12,3.8767099362846256e-04,3.2649622116719888e-04,7.5136863476428820e-04,2.4786824771155027e-04
9.8000000000000011e-12,4.3305375499640115e-04,3.6414427566022729e-04,7.6424153438731937e-04,2.8153428117045585e-04
1.0000000000000001e-11,4.7918561871237948e-04,4.0432961227735445e-04,7.3811554730072082e-04,3.2134540796933448e-04
1.0200000000000001e-11,5.2209362544172267e-04,4.4494126827102223e-04,6.7638459988181743e-04,3.6777225489346201e-04
1.0400000000000001e-11,5.5639061501481623e-04,4.8262543007023217e-04,5.9079715605287115e-04,4.2066465628678225e-04
1.0600000000000001e-11,5.7614354748550364e-04,5.1286027596406710e-04,4.9622338607228824e-04,4.7868196884411106e-04
1.0800000000000001e-11,5.7654427694215867e-04,5.3058641204299737e-04,4.0536565466448720e-04,5.3856658024318107e-04
1.1000000000000001e-11,5.5579351750704173e-04,5.3146530565154949e-04,3.2619025971456747e-04,5.9452894576152973e-04
1.1200000000000001e-11,5.1611682340084344e-04,5.1340589949231319e-04,2.6203759349020925e-04,6.3833831310028183e-04
1.1400000000000001e-11,4.6316618010843304e-04,4.7759746618225709e-04,2.1301045118952121e-04,6.6083759343387425e-04
1.1600000000000001e-11,4.0411890068220202e-04,4.2838503424632825e-04,1.7746972585437994e-04,6.5497020702484762e-04
1.1800000000000001e-11,3.4557705569049845e-04,3.7199622558792582e-04,1.5313305106908729e-04,6.1899253243223888e-04
1.2000000000000001e-11,2.9222961220237676e-04,3.1480659176179153e-04,1.3772117614098699e-04,5.5769311327261595e-04
1.2200000000000001e-11,2.4653283285470295e-04,2.6194003722852127e-04,1.2926707543248528e-04,4.8061221150940108e-04
1.2400000000000000e-11,2.0910413525071253e-04,2.1659942257778433e-04,1.2621997506709456e-04,3.9853028779841072e-04
1.2600000000000000e-11,1.7938464325233913e-04,1.8006998774517275e-04,1.2744276571371668e-04,3.2042022039414523e-04
1.2800000000000000e-11,1.5625602661445344e-04,1.5212681533345428e-04,1.3216364677900262e-04,2.5206050654798934e-04
1.3000000000000000e-11,1.3847832504960549e-04,1.3158487397567714e-04,1.3991507646899840e-04,1.9612800753393992e-04
1.3200000000000000e-11,1.2493857507693892e-04,1.1682018497206149e-04,1.5047566740073663e-04,1.5301139222126007e-04
1.3400000000000000e-11,1.1475399789368556e-04,1.0617588214943155e-04,1.6382056460284046e-04,1.2172311429724354e-04
1.3600000000000000e-11,1.0728340141175039e-04,9.8225545805531158e-05,1.8008005924488975e-04,1.0061947171841297e-04
1.3800000000000000e-11,1.0209114271539573e-04,9.1902587447374980e-05,1.9950249451210789e-04,8.7873539487461286e-05
1.4000000000000000e-11,9.8894124682093499e-05,8.6524367815907940e-05,2.2241437813514539e-04,8.1746840972810202e-05
1.4200000000000000e-11,9.7510076930525420e-05,8.1746643520130724e-05,2.4916702126624393e-04,8.0725569880213478e-05
1.4400000000000000e-11,9.7816412050443719e-05,7.7481599986901889e-05,2.8005457004566460e-04,8.3575412826734804e-05
1.4600000000000000e-11,9.9722988033011098e-05,7.3805486498874486e-05,3.1518379250110773e-04,8.9351401009960405e-05
1.4800000000000000e-11,1.0315841527925543e-04,7.0873372872432038e-05,3.5427490820033120e-04,9.7384981852658545e-05
1.5000000000000000e-11,1.0806748009915071e-04,6.8850935056722284e-05,3.9638354949351801e-04,1.0726117250911495e-04
1.5200000000000000e-11,1.1441636153286011e-04,6.7867292700889452e-05,4.3957135803975560e-04,1.1879318524418804e-04
1.5400000000000000e-11,1.2220224964860007e-04,6.7988878385657708e-05,4.8063153247036476e-04,1.3199884962599221e-04
1.5600000000000000e-11,1.3146441813172960e-04,6.9211834355027409e-05,5.1508523021181053e-04,1.4708132559328524e-04
1.5800000000000000e-11,1.4229445726701581e-04,7.1469040437043325e-05,5.3772492365203436e-04,1.6441517521428677e-04
1.6000000000000000e-11,1.5484395149414034e-04,7.4647184928759757e-05,5.4383671756292609e-04,1.8453721030229698e-04
1.6200000000000000e-11,1.6932814014021015e-04,7.8609143405249920e-05,5.3080227389518597e-04,2.0813903291059239e-04
1.6400000000000000e-11,1.8602381528058179e-04,8.3217324246639209e-05,4.9930652877565513e-04,2.3605402374652753e-04
1.6600000000000000e-11,2.0525868935315720e-04,8.8354532382268737e-05,4.5337858237296034e-04,2.6922458448898405e-04
1.6800000000000000e-11,2.2738752815585652e-04,9.3940124602372147e-05,3.9915863918334405e-04,3.0862436345893988e-04
1.6999999999999999e-11,2.5274741130178993e-04,9.9940525369186762e-05,3.4307045245236448e-04,3.5509419470876362e-04
1.7199999999999999e-11,2.8158084608248876e-04,1.0637429529263909e-04,2.9029597600112534e-04,4.0903189254315849e-04
1.7399999999999999e-11,3.1391245483051804e-04,1.1331273092796684e-04,2.4405094205197503e-04,4.6986735539676644e-04
1.7599999999999999e-11,3.4936618031704866e-04,1.2087736424155249e-04,2.0562851230014715e-04,5.3529279295179443e-04
1.7799999999999999e-11,3.8692279063712179e-04,1.2923574822232286e-04,1.7489096337510080e-04,6.0037860090862108e-04
1.7999999999999999e-11,4.2465294349584268e-04,1.3859663205458106e-04,1.5087755659062030e-04,6.5705994270774312e-04
1.8199999999999999e-11,4.5952682045736392e-04,1.4920511784762607e-04,1.3231856829020643e-04,6.9489234566873909e-04
1.8399999999999999e-11,4.8748083148420445e-04,1.6133769268656715e-04,1.1797617584295192e-04,7.0383233169354594e-04
1.8599999999999999e-11,5.0394644556278970e-04,1.7529613469688233e-04,1.0681882471774003e-04,6.7840580506539194e-04
1.8799999999999999e-11,5.0490649434294468e-04,1.9139813372080107e-04,9.8073328766985106e-05,6.2074552186889762e-04
1.8999999999999999e-11,4.8820745920099217e-04,2.0996094232546002e-04,9.1204408387319760e-05,5.4006873208480390e-04
1.9200000000000002e-11,4.5452530714938064e-04,2.3127240479051876e-04,8.5861733875161863e-05,4.4891583006545895e-04
1.9400000000000002e-11,4.0741651044146244e-04,2.5554141521295259e-04,8.1821037411961700e-05,3.5886463840104787e-04
1.9600000000000002e-11,3.5238243094303922e-04,2.8281788961337937e-04,7.8933847909250690e-05,2.7801225688406638e-04
1.9800000000000002e-11,2.9544027172779424e-04,3.1287253947412462e-04,7.7091609782890954e-05,2.1056921343110940e-04
2.0000000000000002e-11,2.4185460877981864e-04,3.4503296475401761e-04,7.6204397244762778e-05,1.5768698657641223e-04
2.0200000000000002e-11,1.9540953479592143e-04,3.7799102454184690e-04,7.6191529799801933e-05,1.1859255025648645e-04
2.0400000000000002e-11,1.5822707346447565e-04,4.0963313729612804e-04,7.6980372581318213e-05,9.1537100101098337e-05
2.0600000000000002e-11,1.3093467225835687e-04,4.3699713108486996e-04,7.8509757006549314e-05,7.4432134630249381e-05
2.0800000000000002e-11,1.1297928502253548e-04,4.5649868896265787e-04,8.0735215996154589e-05,6.5217749302971364e-05
